Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Llaveros  De gancho,,,2507081841372,pcs,10,0,16.0,0,1,0,1,0,1,Llaveros  De gancho,3,,,,,
Llaveros  fantasmas,,,2507081721292,pcs,40,275,150.0,0,1,0,1,0,1,Llaveros  fantasmas,6,,,,,
Collares Cruz craneo,,,2507081821435,pcs,32.45,100.3082,65.0,0,1,0,1,0,1,Collares Cruz craneo,1,,,,,
Atrapa sue�os XXL,,,2507071644044,pcs,8,0,20.0,0,1,0,1,0,1,Atrapa sue�os XXL,0,,,,,
Atrapa sue�os M,,,2507071643580,pcs,8,50,12.0,0,1,0,1,0,1,Atrapa sue�os M,0,,,,,
Atrapa sue�os XL,,,2507071643542,pcs,8,87.5,15.0,0,1,0,1,0,1,Atrapa sue�os XL,3,,,,,
Atrapa sue�os CH,,,2507071643498,pcs,8,0,10.0,0,1,0,1,0,1,Atrapa sue�os CH,2,,,,,
Champetones Plateados,,,2507071733236,pcs,27,0,35.0,0,1,0,1,0,1,Champetones Plateados,4,,,,,
Controles Cuadros,,,2507071736541,pcs,100,0,150.0,0,1,0,1,0,1,Controles Cuadros,2,,,,,
Llavero Grabado madera,,,2507081717141,pcs,20,0,60.0,0,1,0,1,0,1,Llavero Grabado madera,1,,,,,
cadenas con piel,,,2507081652145,pcs,20,0,40.0,0,1,0,1,0,1,cadenas con piel,1,,,,,
Llavero cruz,,,2507081841211,pcs,9.5,0,15.0,0,1,0,1,0,1,Llavero cruz,0,,,,,
Llabero virgen,,,2507141610566,pcs,9.5,0,15.0,0,1,0,1,0,1,Llabero virgen,5,,,,,
Llaveros  mixto,,,2507081841556,pcs,9.5,0,15.0,0,1,0,1,0,1,Llaveros  mixto,6,,,,,
Bolita Elastica,,,2507071837194,pcs,7.9,0,10.0,0,1,0,1,0,1,Bolita Elastica,8,,,,,
CUERDA ELASTICA ROJA 60cm,,516,2507071755245,pcs,7.9,0,25.0,0,1,0,1,0,1,Cuerda Elastica Roja 60cm,4,,2,4,1,2
CUERDA ELASTICA AZUL 45cm,,515,2507071755214,pcs,7.9,153.1646,20.0,0,1,0,1,0,1,Cuerda Elastica Azul 45cm,6,,2,4,1,2
Cuerda elastica Negra 25cm,,,2507071755276,pcs,7.9,-36.7089,5.0,0,1,0,1,0,1,Cuerda elastica Negra 25cm,5,,,,,
cubierta De calzado,,,2507081752418,pcs,20.12,0,65.0,0,1,0,1,0,1,cubierta De calzado,2,,,,,
Chalecos Piel,,177,2507071802338,pcs,1100,45.4545,1600.0,0,0,0,1,0,1,Chalecos Piel,3,,,,,
Gris completo 2.5,,178,2507071845458,pcs,550,0,850.0,0,0,0,1,0,1,Gris completo 2.5,1,,,,,
